epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.403,1.60414,3.1048,1.69015,0.00313,1,0.71102,0.45819,1.37296,3.52872,1.63635,6e-05,6e-05,6e-05
2,30.8445,1.38132,2.85184,1.46906,0.00313,1,0.74005,0.54354,1.2528,3.45184,1.44548,0.000137228,0.000137228,0.000137228
3,45.4219,1.24236,2.16982,1.40087,0.00313,1,0.75691,0.53851,1.28171,3.42432,1.48076,0.000211288,0.000211288,0.000211288
4,58.4385,1.24619,1.90082,1.32877,0.00313,1,0.78624,0.55534,1.25164,3.33338,1.45717,0.00028218,0.00028218,0.00028218
5,71.5724,1.12426,1.65539,1.28518,0.00313,1,0.79804,0.54978,1.23982,3.39105,1.42302,0.000349904,0.000349904,0.000349904
6,84.6911,1.26571,1.7133,1.33006,0.00313,1,0.82225,0.45353,1.4015,3.4824,1.6353,0.00041446,0.00041446,0.00041446
7,98.2107,1.13662,1.63185,1.2297,0.35579,0.86667,0.78929,0.48461,1.44968,3.28334,1.60232,0.000475848,0.000475848,0.000475848
8,111.405,1.2123,1.48383,1.32258,0.96192,0.66667,0.85183,0.5477,1.36879,2.96739,1.53491,0.000534068,0.000534068,0.000534068
9,124.619,1.19724,1.55426,1.25245,0.88423,0.73333,0.85862,0.51402,1.3327,2.75278,1.6143,0.00058912,0.00058912,0.00058912
10,137.83,1.23237,1.52568,1.32709,1,0.66424,0.86047,0.55425,1.30426,2.82914,1.60857,0.000641004,0.000641004,0.000641004
11,151.011,1.26477,1.4758,1.27524,0.92259,0.79494,0.81582,0.29926,1.85786,3.67441,2.07179,0.00068972,0.00068972,0.00068972
12,164.205,1.15718,1.55466,1.20157,0.00569,0.93333,0.75159,0.41982,1.72258,3.74244,2.02089,0.000735268,0.000735268,0.000735268
13,177.407,1.18526,1.59422,1.21953,0.00482,0.93333,0.6143,0.3567,1.92926,3.96199,2.05505,0.000777648,0.000777648,0.000777648
14,190.786,1.14548,1.44171,1.22302,0.0025,0.8,0.55668,0.36575,1.99455,3.83813,2.10937,0.00081686,0.00081686,0.00081686
15,204.37,1.15745,1.34329,1.17116,1,0.39807,0.64695,0.4664,1.39163,3.29106,1.64388,0.000852904,0.000852904,0.000852904
16,217.676,1.20101,1.40674,1.22211,0.97592,0.6,0.67996,0.49129,1.2913,2.91301,1.54366,0.00088578,0.00088578,0.00088578
